Model,MAE,WAPE,RMSE
Baseline lag1,628.7391304347826,0.800897208684094,891.3791463842396
Baseline lag7,525.6304347826087,0.6695558263181214,801.320906785898
RandomForest,69.23195652173915,0.08818869073992028,252.23961533704505
GradientBoosting,104.8059841653575,0.13350341359122855,286.96852919330814
Prophet,343.905605543251,0.43807204959541274,619.3331266755844
