Model,MAE,WAPE,RMSE
Baseline lag1,1594.3260869565217,1.2753056149686126,5123.577017721285
Baseline lag7,1525.9565217391305,1.22061662058532,5141.860668127325
RandomForest,573.8383152173913,0.4590147721146991,3632.217673435545
GradientBoosting,605.7908355049465,0.48457367682590885,3627.032884800366
Prophet,852.2079067313629,0.6816833378483088,3617.253269621274
