Feature,Importance
n_orders,0.986115513276455
lag30,0.0021809080954662166
avg_size,0.00169533039219521
lag1,0.0016851910396452833
roll3,0.0013795644411851654
naive7,0.0012761648864941576
roll7,0.0011586570291966742
lag7,0.0007703763747572583
lag14,0.0007361752066232502
week,0.0006922847940544953
roll30,0.0006480940019032229
dow,0.0006302308291897304
roll14,0.0006284735274922499
month,0.00037195342406391973
is_month_start,1.962004722332375e-05
is_month_end,1.1462634054796424e-05
